PrjName;RecordNo;AgentId;AgentUserName;PhoneNo;Language;LtCallDt;LtCallWd;LtCallST;CallDurS;CallDurM;LtQuestF;CallCnt;LtCallR;WaveNo;Priority;DialingMode;ResCompleted;IntLevel;ResTimeZone;CallNotes;RestrictionOverride;ResTimeSlot;LtCaseR;CyclePhoneNumber;ManualDialing;LANG;NAME;INT01;N1;N2_1;RegionA;R1;SCREE;T1;Q1;INT10;Q2;Q3_1;Q3_2;Q3_3;Q3_4;Q3_5;Q3_6;Q3_7;Q4;Q5;Q6;Q7M1;Q7M2;Q7M3;Q7M4;Q7M5;Q7M6;Q7M7;Q7M8;Q7M9;Q7M10;Q8M1;Q8M2;Q8M3;Q8M4;Q8M5;Q8M6;Q8M7;Q8M8;Q8M9;Q8M10;RAUS;BYE;VOLL;INT;SQ;F6;PR_CODE;REG;DISTR;SETTL;IMPOR;TEL1;TEL2;TEL3;LSURN;LNAME;TEL4;TEL5;LSURN2;LNAME2;TEL6;TEL7;LSURN3;LNAME3;TEL8;RESPONDENT;TEL9;NOTE;KORR;F7;QN1;QN2;QN3;QN4;QN5;F8;QN6;QN7;QN8;F11;CB
Nazwa Projektu;1135;114;Agent.13;445384795;1;20210729;5;10:30:00;2021;34;461;1;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090206; ; ;185;101; ;140;3;5;3;9;5;10;10;1969;104;104;106;108;;;;;;;;;103;;;;;;;;;; ;99;100;CO; ; ;293674; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; 
Nazwa Projektu;1136;55;Agent.07;384980749;1;20210729;5;10:30:00;1699;28;461;1;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090214; ; ;148;101; ;145;4;10;1;99;2;99;8;1987;103;104;104;112;108;;;;;;;;101;103;105;106;107;;;;;; ;99;100;CO; ; ;818974; ; ; ; ;860546958; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; 
Nazwa Projektu;1137;59;Agent.10;497555914;1;20210730;6;14:58:00;881;15;462;5;CO;3;0;0;1;0;0; ;0;0;CO;1;0;PL; ;LQ; ; ;32090222; ; ;68;101; ;200;5;1;10;9;9;9;6;1977;103;103;102;101;108;;;;;;;;103;104;107;108;;;;;;; ;99;100;CO; ; ;376014; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;diam ipsum, semper Vivamus in aliquam. dis lectus, vehicula. Fusce Phasellus neque, Cras in lectus in sapien, elit. Fusce or; ; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1141;45;Agent.02;627829735;1;20210730;6;09:00:00;1478;25;462;3;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090254; ; ;105;101; ;8;9;5;9;6;6;4;9;1989;104;103;999;;;;;;;;;;;;;;;;;;;; ;99;100;CO; ; ;696985; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;lectus Vivamus nascetur odio erat sociosqu dolor venenatis aptent Pellentesque Pellentesque ridiculus vulputate ut. in in mi; ; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1143;61;Agent.11;935866233;1;20210730;6;09:00:00;3420;57;462;2;CO;2;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090281; ; ;168;101; ;150;6;5;9;5;8;4;9;1992;104;102;108;101;114;;;;;;;;103;107;;;;;;;;; ;99;100;CO; ; ;745170; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; 
Nazwa Projektu;1145;57;Agent.09;62777254;1;20210729;5;10:35:00;1910;32;461;1;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090284; ; ;91;101; ;100;10;8;5;9;2;9;4;1982;102;104;101;108;;;;;;;;;101;102;108;;;;;;;; ;99;100;CO; ; ;304777; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; 
Nazwa Projektu;1150;47;Agent.03;154573464;1;20210806;6;19:26:00;1714;29;462;5;CO;4;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090286; ; ;264;101; ;30,01;10;5;7;0;5;4;7;1978;103;101;108;105;;;;;;;;;101;102;103;104;105;106;108;;;; ;99;100;CO; ; ;779905; ; ; ; ;226676446; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;auctor elit natoque neque libero maximus massa. in libero diam in adipiscing commodo quam quam. adipiscing elit. est. mi sus; ; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1151;53;Agent.06;647224818;1;20210729;5;14:57:00;1274;21;461;2;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090290; ; ;73;101; ;250;6;9;4;4;4;9;2;1981;104;101;999;;;;;;;;;;101;102;103;104;106;107;108;;;; ;99;100;CO; ; ;514197; ; ; ; ;821958511; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;felis. neque interdum vestibulum dictum orci consequat vulputate, sed sollicitudin est. Sed id odio ipsum, commodo, maximus;felis. neque interdum vestibulum dictum orci consequat vulputate, sed sollicitudin est. Sed id odio ipsum, commodo, ma;felis. neque interdum vestibulum dictum orci consequat vulputate, sed sollicitudin est. Sed id odio ipsum, commodo, ma; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1154;61;Agent.11;223966240;1;20210811;4;09:13:00;2361;39;462;37;CO;30;0;0;1;0;0; ;0;0;CO;1;0;PL; ;LQ; ; ;32090305; ; ;7;101; ;180;9;3;5;9;6;99;6;1965;103;103;101;102;108;104;105;106;107;103;112;;;;;;;;;;;; ;99;100;CO; ; ;735152; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;vestibulum in laoreet commodo consequat dui. quam sit tortor scelerisque vestibulum In et In eleifend lobortis quam. orci Vi;vestibulum in laoreet commodo consequat dui. quam sit tortor scelerisque vestibulum In et In eleifend lobortis quam. o; ; ; ; ; ; ; ; ;2,02E+11
Nazwa Projektu;1159;61;Agent.11;420669165;1;20210804;4;10:08:00;2505;42;462;4;CO;1;0;0;1;0;0; ;0;0;CO;1;0;PL; ;JA; ; ;32090327; ; ;45;101; ;350;9;3;5;99;9;2;8;1977;104;102;112;;;;;;;;;;103;;;;;;;;;; ;99;100;CO; ; ;658725; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;nibh et id, lacinia. orci eu venenatis. ornare eu posuere. massa. cursus vitae sed; ; ; ; ; ; ; ; ; ;2,02E+11
